"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built","source"
"1","airtabler","C:/Users/pottj/R/packages","0.1.6",NA,"R (>= 3.2.0)","httr, jsonlite",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3","https://github.com/bergant/airtabler"
"2","askpass","C:/Users/pottj/R/packages","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1","CRAN"
"3","assertthat","C:/Users/pottj/R/packages","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1","CRAN"
"4","audio","C:/Users/pottj/R/packages","0.1-10",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2","CRAN"
"5","AzureAuth","C:/Users/pottj/R/packages","1.3.3",NA,"R (>= 3.3)","utils, httr (>= 1.3), openssl, jsonlite, jose, R6, rappdirs",NA,"knitr, rmarkdown, testthat, httpuv, shiny, shinyjs, AzureRMR,
AzureGraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3","CRAN"
"6","AzureGraph","C:/Users/pottj/R/packages","1.3.2",NA,"R (>= 3.3)","AzureAuth (>= 1.0.1), utils, httr (>= 1.3), jsonlite, openssl,
curl, R6",NA,"AzureRMR, vctrs, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3","CRAN"
"7","backports","C:/Users/pottj/R/packages","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2","CRAN"
"8","base64enc","C:/Users/pottj/R/packages","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1","CRAN"
"9","bayestestR","C:/Users/pottj/R/packages","0.13.1",NA,"R (>= 3.6)","insight (>= 0.19.1), datawizard (>= 0.7.0), graphics, methods,
stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, BH, blavaan,
bridgesampling, brms, curl, effectsize, emmeans, gamm4, ggdist,
ggplot2, glmmTMB, httr, KernSmooth, knitr, lavaan, lme4,
logspline, MASS, mclust, mediation, modelbased, parameters,
patchwork, performance, quadprog, posterior, RcppEigen,
rmarkdown, rstan, rstanarm, see (>= 0.7.5), testthat, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3","CRAN"
"10","beepr","C:/Users/pottj/R/packages","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3","CRAN"
"11","BH","C:/Users/pottj/R/packages","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.2","CRAN"
"12","bigD","C:/Users/pottj/R/packages","0.2.0",NA,"R (>= 3.2.0)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3","CRAN"
"13","bit","C:/Users/pottj/R/packages","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3","CRAN"
